105  469
86  506
99  402
87  423
94  440
117  489
79  432
99  403
114  428
109  420
104  407
111  422
105  434
119  474
100  470
84  399
102  429
101  469
85  444
106  442
82  431
85  451
83  453
53  427
95  411
76  442
95  426
87  402
70  397
84  511
91  469
74  451
101  474
80  398
95  433
92  404
99  481
94  491
87  480
148  371
179  407
152  381
166  377
124  389
156  419
131  345
140  362
144  345
149  393
108  330
135  355
170  386
152  301
153  397
152  301
122  306
148  383
145  337
123  364
145  376
115  354
134  383
117  355
126  345
118  379
120  369
153  403
150  354
154  390
155  349
109  325
117  344
128  400
144  403
163  370
145  355
133  375
128  383
123  349
144  373
140  388
150  339
124  341
125  346
153  352
108  339
95	319
116 311
95 369
