108,368,1
131,355,1
105,469,1
86,506,1
99,402,1
87,423,1
94,440,1
117,489,1
79,432,1
99,403,1
114,428,1
123,372,1
123,372,1
109,420,1
112,394,1
104,407,1
111,422,1
126,423,1
105,434,1
119,474,1
114,396,1
100,470,1
84,399,1
102,429,1
101,469,1
85,444,1
109,397,1
106,442,1
82,431,1
118,381,1
105,388,1
121,403,1
85,451,1
83,453,1
53,427,1
95,411,1
76,442,1
95,426,1
87,402,1
70,397,1
84,511,1
91,469,1
74,451,1
101,474,1
80,398,1
95,433,1
92,404,1
99,481,1
94,491,1
87,480,1
129,420,-1
148,371,-1
179,407,-1
152,381,-1
166,377,-1
124,389,-1
156,419,-1
131,345,-1
140,362,-1
144,345,-1
149,393,-1
108,330,-1
135,355,-1
170,386,-1
152,301,-1
153,397,-1
152,301,-1
136,438,-1
122,306,-1
148,383,-1
90,385,-1
145,337,-1
123,364,-1
145,376,-1
115,354,-1
134,383,-1
117,355,-1
126,345,-1
118,379,-1
120,369,-1
153,403,-1
150,354,-1
154,390,-1
155,349,-1
109,325,-1
117,344,-1
128,400,-1
144,403,-1
163,370,-1
145,355,-1
133,375,-1
128,383,-1
123,349,-1
144,373,-1
140,388,-1
150,339,-1
124,341,-1
125,346,-1
153,352,-1
108,339,-1
