0.50631,0.8099,1
0.4053,0.78754,1
0.32955,0.73642,1
0.27146,0.66294,1
0.26894,0.58307,1
0.31944,0.50639,1
0.39015,0.46805,1
0.45581,0.41693,1
0.51894,0.39776,1
0.42551,0.42971,1
0.55177,0.39137,1
0.31439,0.54792,1
0.29167,0.60224,1
0.30177,0.66613,1
0.32955,0.70447,1
0.37247,0.73323,1
0.44066,0.77157,1
0.52399,0.79073,1
0.56187,0.82268,1
0.35985,0.52236,1
0.4053,0.63738,-1
0.50379,0.61182,-1
0.58712,0.55431,-1
0.65025,0.49042,-1
0.6654,0.40415,-1
0.65783,0.32428,-1
0.56439,0.2508,-1
0.49116,0.24441,-1
0.39773,0.22204,-1
0.33965,0.21885,-1
0.44571,0.23802,-1
0.60985,0.29553,-1
0.61995,0.35623,-1
0.64015,0.41054,-1
0.61742,0.49042,-1
0.54924,0.53514,-1
0.51894,0.5639,-1
0.46338,0.59265,-1
0.4154,0.60863,-1
0.42803,0.19968,-1
